キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,iPhone XS,-,Apple,Apple Japan,2018/9/21,-,A12 Bionic,4GB,-,177,5.8,Super Retina HDディスプレイ,2436×1125,-,-,Y,N,Y,Y,Y,N,N,N,Y,2018/9/26,,,,,,,,,,,,
au,iPhone XS Max,-,Apple,Apple Japan,2018/9/21,-,A12 Bionic,4GB,-,208,6.5,Super Retina HDディスプレイ,2688×1242,-,-,Y,N,Y,Y,Y,N,N,N,Y,2018/9/26,,,,,,,,,,,,
au,iPhone4s,-,Apple,Apple Japan,2011/10/14,CDMA EV-DO Rev. A,A5 800MHz,512MB,-,140,3.5,IPS液晶,960×640,-,-,N,N,Y,Y,N,N,N,N,N,2011/10/25,,,,,,,,,,,,
au,iPhone5,-,Apple,Apple Japan,2012/9/21,WIN HIGH SPEED,A6 1.2GHz,1GB,-,112,4,Retinaディスプレイ,1136×640,-,-,Y,N,Y,Y,N,N,N,N,N,2012/9/25,,,,,,,,,,,,
au,iPhone5c,-,Apple,Apple Japan,2013/9/20,WIN HIGH SPEED,A6 1.25GHz 2Core,1GB,-,132,4,Retinaディスプレイ,1136×640,-,-,Y,N,Y,Y,N,N,N,N,N,2013/9/25,,,,,,,,,,,,
au,iPhone5s,-,Apple,Apple Japan,2013/9/20,WIN HIGH SPEED,A7 1.3GHz 2Core,1GB,-,112,4,Retinaディスプレイ,1136×640,-,-,Y,N,Y,Y,N,N,N,N,N,2013/9/25,,,,,,,,,,,,
au,iPhone6,-,Apple,Apple Japan,2014/9/19,WIN HIGH SPEED,A8 1.4GHz 2Core,1GB,-,129,4.7,Retina HDディスプレイ,1334×750,-,-,Y,N,Y,Y,N,N,N,N,N,2015/11/2,,,,,,,,,,,,
au,iPhone6 Plus,-,Apple,Apple Japan,2014/9/19,WIN HIGH SPEED,A8 1.4GHz 2Core,1GB,-,172,5.5,Retina HDディスプレイ,1920×1080,-,-,Y,N,Y,Y,N,N,N,N,N,2015/11/2,,,,,,,,,,,,
au,iPhone6s,-,Apple,Apple Japan,2015/9/25,-,A9 1.8GHz 2Core,2GB,-,143,4.7,3D Touch搭載Retina HDディスプレイ,1334×750,-,-,Y,N,Y,Y,N,N,N,N,N,2015/11/2,,,,,,,,,,,,
au,iPhone6s Plus,-,Apple,Apple Japan,2015/9/25,-,A9 1.8GHz 2Core,2GB,-,192,5.5,3D Touch搭載Retina HDディスプレイ,1920×1080,-,-,Y,N,Y,Y,N,N,N,N,N,2015/11/2,,,,,,,,,,,,
