キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,KYV44,Qua phone QZ,KYOCERA,京セラ,2018/2/23,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,3GB,32GB,136,5,TFT液晶,1920×1080,"16,777,216",-,Y,N,Y,N,N,N,N,N,Y,2018/2/26,,,,,,,,,,,,
au,KYX31,INFOBAR xv,KYOCERA,京セラ,2018/11/29,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,114,3.1,TFT透過型,800×480,"16,777,216",T,Y,N,Y,N,N,N,N,N,N,2018/11/27,,,,,,,,,,,,
au,KYY04,URBANO PROGRESSO,KYOCERA,京セラ,2012/5/30,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.4GHz,1GB,4GB,139,4,有機EL,800×480,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/6/5,,,,,,,,,,,,
au,KYY21,URBANO L01,KYOCERA,京セラ,2013/6/21,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,2GB,16GB,140,4.7,TFT液晶,1280×720,"16,777,216",-,Ｙ,Ｙ,Ｙ,Y,N,Ｙ,N,Ｎ,Ｙ,2013/6/24,,,,,,,,,,,,
au,KYY22,URBANO L02,KYOCERA,京セラ,2014/2/8,WIN HIGH SPEED,MSM8960 1.5GHz（Dual Core）,2GB,16GB,142,4.7,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,Y,Y,N,N,Y,2014/5/19,,,,,,,,,,,,
au,KYY23,URBANO L03,KYOCERA,京セラ,2014/6/28,WIN HIGH SPEED,MSM8974AB 2.3GHz（Quad Core）,2GB,16GB,154,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,KYY24,TORQUE G01,KYOCERA,京セラ,2014/7/25,WIN HIGH SPEED,MSM8928 1.4GHz（Quad Core）,2GB,16GB,182,4.5,IPS液晶,1280×720,"16,777,216",-,Y,N,Y,Y,Y,N,N,N,Y,2014/7/29,,,,,,,,,,,,
au,LGL21,Optimus G,LG,LGエレクトロニクス・ジャパン,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon APQ8064 1.5GHz,2GB,16GB,143,4.7,IPS液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2013/6/4,,,,,,,,,,,,
au,LGL22,isai,LG,LGエレクトロニクス・ジャパン,2013/11/23,WIN HIGH SPEED,MSM8974 2.3GHz （Quad Core）,2GB,32GB,152,5.2,IPS液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2013/11/26,,,,,,,,,,,,
au,LGL23,G Flex,LG,LGエレクトロニクス・ジャパン,2014/1/25,WIN HIGH SPEED,MSM8974 2.3GHz（Quad Core）,2GB,32GB,178,6,POLED,1280×720,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,N,2014/1/27,,,,,,,,,,,,
au,LGL24,isai FL,LG,LGエレクトロニクス・ジャパン,2014/7/18,WIN HIGH SPEED,MSM8974AC 2.5GHz（Quad Core）,2GB,32GB,154,5.5,AH IPS液晶,2560×1440,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,LGL25,Fx0,LG,LGエレクトロニクス・ジャパン,2014/12/25,WIN HIGH SPEED,MSM8926 1.2GHz（Quad Core）,1.5GB,16GB,148,4.7,IPS液晶,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,N,2015/1/8,,,,,,,,,,,,
au,LGV31,isai VL,LG,LGエレクトロニクス・ジャパン,2014/12/12,-,MSM8974AC　2.5GHz（Quad Core）,3GB,32GB,154,5.5,AH IPS液晶,2560×1440,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,LGV32,isai vivid,LG,LGエレクトロニクス・ジャパン,2015/5/29,-,MSM8992 1.8GHz（Dual Core） + 1.4GHｚ（Quad Core）,3GB,32GB,150,5.5,IPS液晶,2560×1440,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,LGV33,Qua phone PX,LG,LGエレクトロニクス・ジャパン,2016/7/1,-,MSM8937 1.4GHz（Quad Core） ＋ 1.1GHz（Quad Core）,2GB,16GB,127,5.2,IPS液晶,1920×1080,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2016/7/6,,,,,,,,,,,,
au,LGV34,isai Beat,LG,LGエレクトロニクス・ジャパン,2016/11/18,-,MSM8996 2.2GHz（Dual Core）＋1.6GHz（Dual Core）,4GB,32GB,146,5.2,IPS液晶,2560×1440,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/11/24,,,,,,,,,,,,
au,LGV35,isai V30+,LG,LGエレクトロニクス・ジャパン,2017/12/22,-,MSM8998 2.45GHz（Quad Core）＋1.9GHz（Quad Core）,4GB,128GB,158,6,有機EL,2880×1440,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/12/26,,,,,,,,,,,,
au,LGV36,LG it,LG,LGエレクトロニクス・ジャパン,2018/11/9,-,MSM8917 1.4GHz（Quad Core）,3GB,32GB,140,5,IPS,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,N,2018/11/13,,,,,,,,,,,,
au,PTL21,VEGA,PANTECH,Pantech Wireless Japan,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,16GB,134,4.3,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/11/5,,,,,,,,,,,,
au,SCL21,GALAXY SⅢ Progre,SAMSUNG,サムスン電子,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,2GB,32GB,141,4.8,有機EL,1280×720,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,N,2012/11/5,,,,,,,,,,,,
au,SCL22,GALAXY Note III,SAMSUNG,サムスン電子,2013/10/17,WIN HIGH SPEED,MSM8974 2.3GHz（Quad Core）,3GB,32GB,171,5.7,有機EL,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,N,2013/10/18,,,,,,,,,,,,
au,SCL23,GALAXY S5,SAMSUNG,サムスン電子,2014/5/15,WIN HIGH SPEED,MSM8974AC 2.5GHz（Quad Core）,2GB,32GB,147,5.1,Super AMOLED,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SCL24,GALAXY Note Edge,SAMSUNG,サムスン電子,2014/10/23,WIN HIGH SPEED,APQ8084　2.7GHz（Quad Core）,3GB,32GB,177,5.6,Super AMOLED,2560×(1440+160),"16,777,216",-,Y,N,Y,Y,N,Y,N,N,N,2015/11/2,,,,,,,,,,,,
au,SCV31,Galaxy S6 edge,SAMSUNG,サムスン電子,2015/4/23,-,Exynos 7420 Octa Core 2.1GHz（Quad Core） + 1.5GHz（Quad Core）,3GB,-,133,5.1,有機EL,2560×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,N,2015/11/2,,,,,,,,,,,,
au,SCV32,Galaxy A8,SAMSUNG,サムスン電子,2015/12/18,-,Exynos5433 1.9GHz（Quad Core） ＋ 1.3GHｚ（Quad Core）,2GB,32GB,153,5.7,Super AMOLED,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,N,2015/12/24,,,,,,,,,,,,
au,SCV33,Galaxy S7 edge,SAMSUNG,サムスン電子,2016/5/19,-,MSM8996 2.2GHz＋1.6GHz（Quad Core）,4GB,32GB,158,5.5,Super AMOLED,2560×1440,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/5/24,,,,,,,,,,,,
au,SCV35,Galaxy S8+,SAMSUNG,サムスン電子,2017/6/8,-,MSM8998 2.35GHz（Quad Core）＋1.9GHz（Quad Core）,4GB,64GB,173,6.2,Super AMOLED,2960×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2017/6/13,,,,,,,,,,,,
au,SCV36,Galaxy S8,SAMSUNG,サムスン電子,2017/6/8,-,MSM8998 2.35GHz（Quad Core）＋1.9GHz（Quad Core）,4GB,64GB,150,5.8,Super AMOLED,2960×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2017/6/13,,,,,,,,,,,,
au,SCV37,Galaxy Note8,SAMSUNG,サムスン電子,2017/10/26,-,MSM8998 2.35GHz（Quad Core）＋1.9GHz（Quad Core）,4GB,64GB,190,6.3,Super AMOLED,2960×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2017/10/31,,,,,,,,,,,,
au,SCV38,Galaxy S9,SAMSUNG,サムスン電子,2018/5/18,-,SDM845 2.8GHz（Quad Core）＋1.7Ghz（Quad Core）,4GB,64GB,161,5.8,Super AMOLED,2960×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2018/5/22,,,,,,,,,,,,
au,SCV39,Galaxy S9+,SAMSUNG,サムスン電子,2018/5/18,-,SDM845 2.8GHz（Quad Core）＋1.7Ghz（Quad Core）,6GB,64GB,187,6.2,Super AMOLED,2960×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2018/5/22,,,,,,,,,,,,
au,SCV40,Galaxy Note9,SAMSUNG,サムスン電子,2018/10/25,-,SDM845 2.8GHz（Quad Core）＋1.7Ghz（Quad Core）,6GB,128GB,201,6.4,Super AMOLED,2960×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2018/10/26,,,,,,,,,,,,
au,SHF31,AQUOS K,SHARP,シャープ,2015/2/20,WIN HIGH SPEED,MSM8926 1.2GHz（Quad Core）,1GB,8GB,128,3.4,TFT液晶,960×540,"16,777,216",T,Y,Y,Y,Y,N,Y,N,N,Y,2015/6/22,,,,,,,,,,,,
au,SHF32,AQUOS K,SHARP,シャープ,2015/7/17,-,MSM8926 1.2GHz（Quad Core）,1GB,8GB,128,3.4,TFT液晶,960×540,"16,777,216",T,Y,Y,Y,N,N,Y,N,N,Y,2015/7/23,,,,,,,,,,,,
au,SHF33,AQUOS K,SHARP,シャープ,2016/7/6,-,MSM8926 1.2GHz（Quad Core）,1GB,8GB,130,3.4,TFT液晶,960×540,"16,777,216",T,Y,Y,Y,N,N,Y,N,N,Y,2016/7/11,,,,,,,,,,,,
au,SHF34,AQUOS K,SHARP,シャープ,2017/12/15,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,132,3.4,TFT液晶,960×540,"16,777,216",T,Y,Y,Y,N,N,Y,N,N,Y,2017/12/20,,,,,,,,,,,,
au,SHL21,AQUOS PHONE SERIE,SHARP,シャープ,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,16GB,148,4.7,S-CG Silicon液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/11/5,,,,,,,,,,,,
au,SHL22,AQUOS PHONE SERIE,SHARP,シャープ,2013/7/12,WIN HIGH SPEED,APQ8064T 1.7GHz (Quad Core),2GB,16GB,155,4.9,IGZO,1280×720,"16,777,216",-,Ｙ,Ｙ,Y,Y,N,Ｙ,N,Ｎ,Ｙ,2013/7/17,,,,,,,,,,,,
au,SHL23,AQUOS PHONE SERIE,SHARP,シャープ,2013/11/15,WIN HIGH SPEED,MSM8974 2.2GHz （Quad Core）,2GB,16GB,145,4.8,IGZO,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2013/11/19,,,,,,,,,,,,
au,SHL24,AQUOS PHONE SERIE mini,SHARP,シャープ,2014/2/22,WIN HIGH SPEED,MSM8974 2.2GHz （Quad Core）,2GB,16GB,115,4.5,IGZO,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2014/5/19,,,,,,,,,,,,
au,SHL25,AQUOS SERIE,SHARP,シャープ,2014/6/13,WIN HIGH SPEED,MSM8974AB 2.3GHz（Quad Core）,2GB,32GB,141,5.2,IGZO,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SHV31,AQUOS SERIE mini,SHARP,シャープ,2015/1/29,-,MSM8974AB　2.3GHz（Quad Core）,2GB,16GB,118,4.5,IGZO,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SHV32,AQUOS SERIE,SHARP,シャープ,2015/6/5,-,MSM8994　2.0GHz（Quad Core） + 1.5GHｚ（Quad Core）,3GB,32GB,134,5,IGZO,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SHV33,AQUOS SERIE mini,SHARP,シャープ,2016/1/23,-,MSM8992 1.8GHz（Dual Core） ＋ 1.4GHz（Quad Core）,3GB,16GB,120,4.7,IGZO,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/1/27,,,,,,,,,,,,
au,SHV34,AQUOS SERIE,SHARP,シャープ,2016/6/10,-,MSM8996 2.2GHz＋1.6GHz（Quad Core）,3GB,32GB,153,5.3,IGZO,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/6/15,,,,,,,,,,,,
au,SHV35,AQUOS U,SHARP,シャープ,2016/6/24,-,MSM8952 1.5GHz＋1.2GHz（Quad Core）,2GB,16GB,128,5,IGZO,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2016/6/29,,,,,,,,,,,,
au,SHV36,BASIO2,SHARP,シャープ,2016/8/5,-,MSM8952 1.5GHz（Quad Core）＋1.2GHz（Quad Core）,2GB,16GB,150,5,IGZO,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2016/8/10,,,,,,,,,,,,
au,SHV37,AQUOS U,SHARP,シャープ,2016/11/18,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,2GB,16GB,137,5,IGZO,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2016/11/24,,,,,,,,,,,,
au,SHV38,AQUOS SERIE mini,SHARP,シャープ,2017/2/3,-,MSM8952 1.5GHz（Quad Core）＋1.2GHz（Quad Core）,3GB,16GB,134,4.7,IGZO,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/2/8,,,,,,,,,,,,
au,SHV39,AQUOS R,SHARP,シャープ,2017/7/7,-,MSM8998 2.2GHz（Quad Core）＋1.9GHz（Quad Core）,4GB,64GB,169,5.3,IGZO,2560×1440,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/7/11,,,,,,,,,,,,
au,SHV40,AQUOS sense,SHARP,シャープ,2017/11/2,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,3GB,32GB,148,5,IGZO,1920×1080,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2017/11/8,,,,,,,,,,,,
au,SHV41,AQUOS R compact,SHARP,シャープ,2017/12/22,-,SDM660 2.2GHz（Quad Core）＋1.8Ghz（Quad Core）,3GB,32GB,140,4.9,IGZO,2032×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/12/26,,,,,,,,,,,,
au,SHV42,AQUOS R2,SHARP,シャープ,2018/6/8,-,SDM845 2.6GHz（Quad Core）＋1.7GHz（Quad Core）,4GB,64GB,181,6,IGZO,3040×1440,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2018/6/12,,,,,,,,,,,,
au,SHV43,AQUOS sense2,SHARP,シャープ,2018/11/9,-,SDM450 1.8GHz(Octa Core),3GB,32GB,155,5.5,IGZO,2160×1080,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2018/11/13,,,,,,,,,,,,
au,SOL21,Xperia VL,SONY,ソニーモバイルコミュニケーションズ,2012/11/2,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,16GB,120,4.3,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/11/5,,,,,,,,,,,,
au,SOL22,Xperia UL,SONY,ソニーモバイルコミュニケーションズ,2013/5/25,WIN HIGH SPEED,APQ8064　1.5GHz　（Quad Core）,2GB,16GB,145,5,Super LCD3,1920×1080,"16,777,216",-,Ｙ,Ｙ,Ｙ,Y,N,Ｙ,N,Ｎ,Ｙ,2013/5/28,,,,,,,,,,,,
au,SOL23,Xperia Z1,SONY,ソニーモバイルコミュニケーションズ,2013/10/23,WIN HIGH SPEED,MSM8974 2.2GHz （Quad Core）,2GB,32GB,171,5,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2013/10/25,,,,,,,,,,,,
au,SOL24,Xperia Z Ultra,SONY,ソニーモバイルコミュニケーションズ,2014/1/25,WIN HIGH SPEED,MSM8974 2.2GHz （Quad Core）,2GB,32GB,214,6.4,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2014/5/19,,,,,,,,,,,,
au,SOL25,Xperia ZL2,SONY,ソニーモバイルコミュニケーションズ,2014/5/23,WIN HIGH SPEED,MSM8974AB 2.3GHz（Quad Core）,3GB,32GB,167,5,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SOL26,Xperia Z3,SONY,ソニーモバイルコミュニケーションズ,2014/10/23,WIN HIGH SPEED,MSM8974AC 2.5GHz（Quad Core）,3GB,32GB,152,5.2,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SOV31,Xperia Z4,SONY,ソニーモバイルコミュニケーションズ,2015/6/11,-,Qualcomm MSM8994 Octa Core 2.0GHz（Quad） + 1.5GHz（Quad）,3GB,32GB,144,5.2,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,SOV32,Xperia Z5,SONY,ソニーモバイルコミュニケーションズ,2015/10/29,-,MSM8994 2.0GHz + 1.5GHz（Octa Core）,3GB,32GB,154,5.2,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/2/23,,,,,,,,,,,,
au,SOV33,Xperia X Performance,SONY,ソニーモバイルコミュニケーションズ,2016/6/24,-,MSM8996 2.2GHz＋1.6GHz（Quad Core）,3GB,32GB,165,5,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/6/29,,,,,,,,,,,,
au,SOV34,Xperia XZ,SONY,ソニーモバイルコミュニケーションズ,2016/11/2,-,MSM8996 2.2GHz（Quad Core）＋1.6GHz（Quad Core）,3GB,32GB,161,5.2,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/11/8,,,,,,,,,,,,
au,SOV35,Xperia XZs,SONY,ソニーモバイルコミュニケーションズ,2017/5/26,-,MSM8996 2.2GHz（Dual Core）＋1.6GHz（Dual Core） ,4GB,32GB,161,5.2,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/5/30,,,,,,,,,,,,
au,SOV36,Xperia XZ1,SONY,ソニーモバイルコミュニケーションズ,2017/11/10,-,MSM8998 2.45GHz（Quad Core）＋1.9GHz（Quad Core）,4GB,64GB,156,5.2,トリルミナスディスプレイ for mobile,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/11/15,,,,,,,,,,,,
au,SOV37,Xperia XZ2,SONY,ソニーモバイルコミュニケーションズ,2018/5/31,-,SDM845 2.8GHz（Quad Core）＋1.8Ghz（Quad Core）,4GB,64GB,198,5.7,TFT液晶,2160×1080,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2018/6/4,,,,,,,,,,,,
au,SOV38,Xperia XZ2 Premium,SONY,ソニーモバイルコミュニケーションズ,2018/8/10,-,SDM845 2.8GHz（Quad Core）＋1.8Ghz（Quad Core）,6GB,64GB,236,5.8,トリルミナスディスプレイ for mobile,3840×2160,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2018/8/13,,,,,,,,,,,,
au,SOV39,Xperia XZ3,SONY,ソニーモバイルコミュニケーションズ,2018/11/9,-,SDM845 2.8GHz（Quad Core）＋1.8Ghz（Quad Core）,4GB,64GB,193,6,OLED,2880×1440,"16,777,216",-,Y,N,Y,Y,Y,Y,N,N,Y,2018/11/13,,,,,,,,,,,,
Disney mobile,DM009SH,-,SHARP,シャープ,2011/2/28,3G HIGH SPEED,Qualcomm Snapdragon MSM8255 1GHz,512MB,1GB,140,3.8,NewモバイルASV液晶,800×480,"65,536",-,N,Y,Y,Y,N,Y,N,N,N,2012/2/23,,,,,,,,,,,,
Disney mobile,DM010SH,-,SHARP,シャープ,2011/10/8,3G HIGH SPEED,Qualcomm Snapdragon MSM8255 1GHz,512MB,2GB,129,4,NewモバイルASV液晶,960×540,"65,536",-,N,Y,Y,Y,N,Y,N,Y,N,2012/2/23,,,,,,,,,,,,
Disney mobile,DM011SH,-,SHARP,シャープ,2011/12/2,3G HIGH SPEED,Qualcomm Snapdragon MSM8255 1GHz,512MB,2GB,129,3.4,NewモバイルASV液晶,854×480,"16,777,216",T,N,Y,Y,Y,N,Y,N,N,Y,2012/2/23,,,,,,,,,,,,
Disney mobile,DM012SH,-,SHARP,シャープ,2012/2/17,3G HIGH SPEED,Qualcomm Snapdragon MSM8255T 1.4GHz,512MB,4GB,120,4,NewモバイルASV液晶,960×540,"655,536",-,N,Y,Y,Y,N,Y,N,N,Y,2012/2/23,,,,,,,,,,,,
Disney mobile,DM013SH,-,SHARP,シャープ,2012/12/14,W-CDMA,Qualcomm Snapdragon MSM8255 1.4GHz,1GB,4GB,116,3.7,Super LCD3,854×480,"16,777,216",-,N,Y,Y,Y,N,Y,N,N,Y,2016/2/9,,,,,,,,,,,,
Disney mobile,DM014SH,-,SHARP,シャープ,2013/3/1,3G HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,8GB,129,4.5,Super LCD3,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2016/2/9,,,,,,,,,,,,
Disney mobile,DM015K,-,KYOCERA,京セラ,2013/8/2,ULTRA SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1.5GB,16GB,95,4.3,TFT液晶,1280×720,"16,777,216",-,Y,Ｙ,Ｙ,Y,N,Ｙ,N,N,Ｙ,2013/8/6,,,,,,,,,,,,
Disney mobile,DM016SH,-,SHARP,シャープ,2014/1/24,W-CDMA,MSM8974 2.2GHz （Quad Core）,2GB,32GB,147,5.2,S-CGSilicon液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2014/1/27,,,,,,,,,,,,
docomo,BlackBerry 8707h,-,Research In Motion,リサーチ・イン・モーション・ジャパン,2007/7/23,W-CDMA,-,256MB,64MB,140,2.4,TFT液晶,240×320,"65,536",Q,N,N,N,N,N,N,N,N,N,2016/2/9,,,,,,,,,,,,
docomo,BlackBerry Bold 9000,-,Research In Motion,リサーチ・イン・モーション・ジャパン,2009/2/20,UMTS/HSDPA,Marvell PXA930 624MHz,128MB+1GB,-,136,2.7,TFT液晶,480×320,"65,536",Q,N,N,N,N,N,N,N,N,N,2016/10/26,,,,,,,,,,,,
docomo,BlackBerry Bold 9700,-,Research In Motion,リサーチ・イン・モーション・ジャパン,2010/7/30,FOMA HIGHSPEED,Marvell Tavor PV 624MHz,256MB,256MB,122,2.4,TFT液晶,480×360,"65,536",Q,N,N,Y,Y,N,N,N,N,N,2011/7/11,,,,,,,,,,,,
docomo,BlackBerry Bold 9780,-,Research In Motion,Research In Motion,2011/6/29,FOMA HIGHSPEED,Marvel lPXA930 624MHz,512MB,512MB,122,2.4,TFT液晶,480×360,"16,777,216",Q,N,N,Y,Y,N,N,N,N,N,2011/7/11,,,,,,,,,,,,
docomo,BlackBerry Bold 9900,-,Research In Motion,Research In Motion,2012/3/30,FOMA HIGHSPEED,Qualcomm Snapdragon MSM8655 1.2GHz,768MB,8GB,130,2.8,TFT液晶,480×640,"16,777,216",Q,N,N,Y,Y,N,N,N,N,N,2012/4/3,,,,,,,,,,,,
docomo,BlackBerry Curve 9300,-,Research In Motion,リサーチ・イン・モーション・ジャパン,2010/12/1,FOMA HIGHSPEED,Marvell PXA930 624MHz,256MB,256MB,104,2.4,TFT液晶,240×320,"65,536",Q,N,N,Y,Y,N,N,N,N,N,2016/2/9,,,,,,,,,,,,
docomo,DM-01G,Disney Mobile on docomo,LG,LGエレクトロニクス・ジャパン,2015/5/29,FOMA HIGHSPEED,Qualcomm MSM8974AC 2.5GHz（Quad Core）,2GB,16GB,149,5.2,IPS液晶,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/6/1,,,,,,,,,,,,
docomo,DM-01H,Disney Mobile on docomo,SHARP,シャープ,2016/1/29,FOMA HIGHSPEED,MSM8992 1.8GHz（Dual Core） ＋ 1.4GHz（Quad Core）,3GB,16GB,121,4.7,IGZO,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/2/3,,,,,,,,,,,,
docomo,DM-01J,Disney Mobile on docomo,SHARP,シャープ,2017/2/9,FOMA HIGHSPEED,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,2GB,16GB,138,5,IGZO,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2017/2/14,,,,,,,,,,,,
docomo,DM-01K,Disney Mobile on docomo,LG,LGエレクトロニクス・ジャパン,2018/2/28,FOMA HIGHSPEED,MSM8940 1.4GHz（Quad Core）＋1.1Ghz（Quad Core）,3GB,32GB,147,5.5,TFT液晶,2160×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2018/3/1,,,,,,,,,,,,
docomo,DM-02H,Disney Mobile on docomo,LG,LGエレクトロニクス・ジャパン,2016/7/8,FOMA HIGHSPEED,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,2GB,16GB,137,5.2,TFT液晶,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/7/13,,,,,,,,,,,,
docomo,F-01F,ARROWS NX,FUJITSU,富士通,2013/10/24,FOMA HIGHSPEED,MSM8974 2.3GHz（Quad Core）,2GB,32GB,150,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,Y,N,Y,2013/10/25,,,,,,,,,,,,
docomo,F-01H,arrows Fit,FUJITSU,富士通,2015/10/7,FOMA HIGHSPEED,Qualcomm MSM8916 1.2GHz（Quad Core）,2GB,16GB,149,5,有機EL,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2015/10/9,,,,,,,,,,,,
docomo,F-01J,arrows NX,FUJITSU,富士通,2016/12/2,FOMA HIGHSPEED,MSM8953 2.0GHz（Octa Core）,3GB,32GB,169,5.5,TFT液晶,1920×1080,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2016/12/14,,,,,,,,,,,,
