ニックネーム,最大クロック数(GHz),CPUコア数,RAM,ROM,質量[g],画面サイズ（インチ）,画面解像度（縦）,画面解像度（横）,本体厚さ,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,iOS,Android,価格,外カメラ画素数,内カメラ画素数,バッテリー容量,シェア率
iPhone XR,2.49,6,3,64,194,6.1,1792,828,8.3,1,0,1,0,93312,1200,700,2942,1626
Xperia XZ3,2.8,8,4,64,193,6,2880,1440,9.9,1,1,0,1,93312,1920,1320,3200,407
AQUOS R2,2.6,8,4,64,181,6,3040,1440,9,0,1,0,1,90720,2260,1630,3130,407
Galaxy Note9,2.8,8,6,128,201,6.4,2960,1440,8.8,1,1,0,1,121176,1220,800,4000,199
arrows NX,2.2,8,4,32,154,5.2,1080,1920,8.1,0,1,0,1,88128,2300,500,2580,179
HUAWEI P20 Pro,2.4,8,6,128,180,6.1,2240,1080,7.9,0,0,0,1,98496,4000,2400,3900,99
